sequence,taxon_id,Name,Common name,Latitude,Longitude,type locality
1881,558853,Cnemaspis kandambyi,Knuckles Mountain Round-eyed Gecko,7.4333,80.8333,"Type locality: Meemure, Knuckles Range, 07°26'N, 080°50'E, elevation 450 m msl, Sri Lanka"
1561,98038,Cnemaspis karsticola,Karst-dwelling Round-eyed Gecko,5.71425,101.745433,"Type locality: at 113 m [elevation] from Gunung Reng, Kelantan, Peninsular Malaysia (05°42.905 N, 101°44.726 E)."
846,1119972,Cnemaspis kawminiae,Kawmini's Day Gecko,7.033558,80.798794,"Type locality: moss-covered granite wall in Mandaramnuwara, bordering Pidurutalagala Mountain range, Nuwara-Eliya District, Central Province, Sri Lanka (7.033558°N, 80.798794°E, WGS1984; elevation 1,600 m asl."
762,1119971,Cnemaspis kotagamai,Kotagama's Day Gecko,6.512978,80.750306,"Type locality: granite cave Bambaragala, Pallebedda, Ratnapura District, Sabaragamu Province, Sri Lanka (6.512978°N, 80.750306°E, WGS1984; elevation 127 m"
1882,1031603,Cnemaspis koynaensis,Koyna Dwarf Gecko,17.413,73.731,"Type locality: near Dhanagarwada, Humbarli village, near Koyna (17.413° N 73.731° E; ca. 970 m asl.), Satara District, Maharashtra, India"
753,1250244,Cnemaspis krishnagiriensis,Krishnagiri Dwarf Gecko,12.544,78.224,"Type locality: from behind Kugai Periya Mariamman Temple, near Krishnagiri fort, (12.544, 78.224 ca. 550 m asl.), Krishnagiri District, Tamil Nadu, India."
253,98040,Cnemaspis kumarasinghei,Maragala Round-eyed Gecko,6.882167,81.38525,"Type locality: Maragala, Monaragala, Sri Lanka, (N 06° 52’ 55.8” E 081° 23’ 09.7”, elevation 910m)."
1883,98041,Cnemaspis laoensis,Laotian Round-eyed Gecko,,,"Type locality: Dong Phu Vieng National Protected Area, Savannakhet, Laos."
1022,797609,Cnemaspis limayei,Limaye's Round-eyed Gecko,16.221,73.475,"Type locality: “near a dry stream at Marutiwadi (16.221 N, 73.475 E; 132 m asl), near Phondaghat, Sindhudurg district, Maharashtra, India”"
1884,797610,Cnemaspis maculicollis,Cnemaspis maculicollis,8.82749,77.21703,"Type locality: Pandimotta (08.82749°N, 077.21703°E) at an elevation of 1238m, Shendurney Wildlife Sanctuary, Kollam District, Kerala."
1643,1129166,Cnemaspis magnifica,Magnificent Dwarf Gecko,12.781,75.708,"Type locality: Mookanana resort campus, Hongadahalla village, Sakleshpur (12.781°N, 75.708°E; ca. 570 m asl.), Hassan District, Karnataka, India"
2797,1403150,Cnemaspis matahari,White Rock Gecko,3.1458,113.9937,"Type locality: Serian, Sarawak, East Malaysia (Borneo)"
1018,558855,Cnemaspis minang,Cnemaspis minang,-0.9,100.4,"Type locality: along the Solok Valley, near Gua Baba, Indarung, Padang, West Sumatra, Indonesia (0.9°S, 100.4°E)"
1885,98045,Cnemaspis modiglianii,Enggano Round-eyed Gecko,-5.4,102.2667,"Type locality: Malacomni, Pulau Enggano (05° 24’S; 102° 16’E), Bengkulu Propinsi, Republic of Indonesia."
423,98047,Cnemaspis monachorum,Wanaram Temple Round-eyed Gecko,6.33792,99.87512,"Type locality: 35 m from Wat Wanaram, Pulau Langkawi, Kedah, Peninsular Malaysia (06°20.275 N, 99°52.507 E."
356,539481,Cnemaspis mumpuniae,Mumpuni Round-eyed Gecko,3.675222,108.155056,"Type locality: Sekunyam Forest Reserve, Mekarjaya Village, Bunguran Barat district, Natuna Regency, Kepulauan Riau Province, Bunguran Island, Indonesia (03°40’30.8”N; 108°09’18.2”E) at 80 m elevation."
2796,1403149,Cnemaspis mundanthuraiensis,Mundanthurai Rock Gecko,8.698,77.3561,"Type locality: Mundanthurai forest range (8.6980°N, 77.3561°E; ca. 200 m asl.), Kalakad Mundanthurai Tiger Reserve, Tirunelveli district, Tamil Nadu state, India"
1886,33433,Cnemaspis nairi,Ponmudi Round-eyed Gecko,8.6667,77.1667,"Type locality: Ponmudi, Trivandrum District, Kerala State"
2498,1474161,Cnemaspis nanayakkarai,Cnemaspis nanayakkarai,7.915631,80.379361,"Type locality: large granite cave covered with dence canopy close to a freshwater tank in Galgiriya mountain range, Kurunegala District, North Western Province, Sri Lanka (7.915631N, 80.379361E, WGS1984; elevation 218 m a.s.l."
1286,1031604,Cnemaspis nandimithrai,Nandimithra's Day Gecko,6.667519,81.747839,"Type locality: granite cave in Kudumbigala, Kumana, Ampara District, Eastern Province, Sri Lanka (6.667519° N, 81.747839° E, WGS1984; elevation 28 m"
1839,98051,Cnemaspis neangthyi,Cambodian Round-eyed Gecko,12.32405,103.5101,"Type locality: outside the village of O’lakmeas, Pursat Province, Cambodia (12°19.433’N, 103°30.6059’E."
1527,1304816,Cnemaspis nigriventris,Cnemaspis nigriventris,9.127,77.177,"Type locality: Achankovil Reserve Forest (9.127 °N, 77.177°E; 207 m asl)"
1568,1304815,Cnemaspis nimbus,Clouded Forest Gecko,10.008,77.248,"Type locality: Mathikettan Shola National Park, Cardamom Hills (10.008°N, 77.248°E; 1630 m asl)"
2722,1439482,Cnemaspis pachaimalaiensis,Cnemaspis pachaimalaiensis,11.3422,78.6047,"Type locality: near Mangalam waterfalls, (11.3422°N, 78.6047°E; ca. 650 m asl.), Pachaimalai hills, Trichy district, Tamil Nadu state, India"
530,558856,Cnemaspis pagai,South Pagai Round-eyed Gecko,-3.07941,100.29394,"Type locality: Bulasat Village, Pagai Selatan Island, West Sumatra, Indonesia, 34 m (03.07941°S, 100.29394°E), "
1200,98058,Cnemaspis pemanggilensis,Pemanggil Island Round-eyed Gecko,1.8944,103.7251,"Type locality: the base of Batu Buau, a small rocky hill behind Kampung Buau on the west side of Pulau Pemanggil, Johor,
West Malaysia, elevation 100 m."
1887,98059,Cnemaspis perhentianensis,Perhentian Islands Round-eyed Gecko,5.9019,102.73872,"Type locality: 40 m elevation on Pulau Perhentian Besar, Trengganu, West Malaysia (05°54.054 N, 102°44.343 E)."
1888,98062,Cnemaspis pseudomcguirei,Larut Hills Round-eyed Gecko,4.8629,100.7999,"Type locality: 1351 m from Bukit Larut, Perak, Peninsular Malaysia along the road from the Gunung Hijau Rest House to the Telekom Tower (04°51.715 N, 100°47.993 E)."
1666,1250242,Cnemaspis rajgadensis,Rajgad Rock Gecko,18.5242,73.7766,"Type locality: Rajgad fort, Pune District, Maharashtra, India"
1116,1161462,Cnemaspis ranganaensis,Cnemaspis ranganaensis,16.0775,73.8508,"Type locality: Rangana Fort (16°04′39′′N, 73°51′03′′E; ca. 652 m asl), Bhudargad Taluka, Kolhapur District, Maharashtra, India"
1525,1304813,Cnemaspis regalis,Cnemaspis regalis,8.656,77.331,"Type locality: Mundanthurai, Kalakkad Mundanthurai Tiger Reserve, Tamil Nadu (8.656°N, 77.331°E; 216 m asl)"
514,1499860,Cnemaspis reticulata,Cnemaspis reticulata,9.876,78.0692,"Type locality: Thiruparankundram Hill (9°52'35.79''N, 78°4'9.03''E; alt. 311 m a.s.l.), Madurai District, Tamil Nadu, India."
1889,98068,Cnemaspis roticanai,Roti Canai Round-eyed Gecko,6.368567,99.821167,"Type locality: 743 m elevation on Gunung Raya, Pulau Langkawi, Kedah, Peninsular Malaysia (06°22.114N 99°49.270 E)."
2795,1403148,Cnemaspis sakleshpurensis,Cnemaspis sakleshpurensis,12.7811,75.7079,"Type locality: vicinity of Mookanana Resort, Hongadahalla village, Sakleshpur (12.7811°N, 75.7079°E; elevation ca. 850 m), Hassan District, Karnataka, India."
1890,98071,Cnemaspis shahruli,Telok Bahang Round-eyed Gecko,5.45405,100.2054,"Type locality: Telok Bahang Recreational Forest Reserve, Penang (05°27.233’N 100°12.324’E), 67 m elevation."
2682,1439478,Cnemaspis similan,Cnemaspis similan,8.7444,97.68056,"Type locality: Thailand, Phang-nga Province, Thai Mueang District, Lam Kaen Subdistrict, Mu Ko Similan National Park, Ko Similan, Ao Nguang Chang Bay (8°64.840'N, 97°64.834'E; 13 m a.s.l.)"
2794,1403147,Cnemaspis sirehensis,Cnemaspis sirehensis,3.247,113.9819,"Type locality: Serian District, Sarawak, East Malaysia (Borneo)"
1980,33426,Cnemaspis sisparensis,Sispara Round-eyed Gecko,11.39,76.6793,"Type locality: Sholakal, near the bottom of the Sispara Ghat, Nilghiri Hills"
