Unobserved Bird,Latitude,Longitude,taxon_id,Common name
Stresemannia bougainvillei,-6.233489,154.49828,12690,Bougainville Honeyeater
Edolisoma holopolium,-9.417304,160.02,201129,Solomons Cicadabird
Edolisoma admiralitatis,-1.98225,147.00586,201127,Manus Cicadabird
Pterodroma occulta,-18.749874,173.57214,144439,Vanuatu Petrel
Androphobus viridis,-5.962397,143.12852,116763,Papuan Whipbird
Pachycephala richardsi,-6.233489,154.49828,367644,Bougainville Hooded Whistler
Colluricincla tenebrosa,-5.165367,141.508711,578287,Sooty Shrikethrush
Sphecotheres hypoleucus,-7.73912,126.17802,8622,Wetar Figbird
Rhipidura tenebrosa,-10.39549,161.50922,8153,Dusky Fantail
Parotia berlepschi,-2.579361,138.716861,201166,Bronze Parotia
Cinnyris idenburgi,-2.547793,140.14626,1505013,Mamberamo Sunbird
Myrmotherula fluminensis,-22.596078,-43.03834,15834,Rio de Janeiro Antwren
Mayrornis schistaceus,-11.634032,166.97209,8530,Vanikoro Monarch
Mayrornis versicolor,-19.15867,-178.40831,8529,Ogea Monarch
Myiagra cervinicauda,-10.821632,162.22762,8061,Ochre-headed Flycatcher
Pomarea iphis,-8.922443,-139.52388,8590,Iphis Monarch
Symposiachrus rubiensis,-1.363697,134.2097,201155,Rufous Monarch
Symposiachrus infelix,-1.98303,147.05963,144749,Manus Monarch
Mirafra cordofanica,16.452989,-15.667317,7323,Kordofan Lark
Muscicapa randi,16.644547,121.38628,12984,Ashy-breasted Flycatcher
Prioniturus mindorensis,12.831074,120.91151,201087,Mindoro Racquet-tail
Gallirallus calayanensis,19.32305,121.45373,400,Calayan Rail
Zosterops hamlini,-6.2914,155.4751,1507889,Bougainville White-eye
Zosterops oblitus,-9.502855,160.01567,1507890,Guadalcanal White-eye
Melanocharis striativentris,-5.699444,143.92583,12152,Streaked Berrypecker
Spizocorys obbiensis,2.2992,45.7977,7402,Obbia Lark
Acrocephalus longirostris,-17.556182,-149.832814,367659,Moorea Reed Warbler
Ceblepyris cucullatus,-11.7544,43.374,1585520,Comoro Cuckooshrike
Robsonius rabori,18.5302,120.9142,494434,Cordillera Ground-Warbler
Megapodius pritchardii,-15.59069,-175.66144,2021,Tongan Megapode
Myrmotherula grisea,-14.404188,-68.52761,15833,Ashy Antwren
Vireo sclateri,5.99614,-61.39385,515245,Tepui Vireo
Symposiachrus barbatus,-8.8113,160.7878,144752,Solomons Monarch
Phlegopsis borbae,-7.570158,-60.659916,73219,Pale-faced Bare-eye
Nesospiza wilkinsi,-37.417206,-12.474839,10528,Wilkins's Finch
Perdicula manipurensis,26.766667,90.883333,734,Manipur Bush-Quail
Columba pallidiceps,-10.543051,161.93184,3013,Yellow-legged Pigeon
